Skill,Group
tinkerer,1
cs-cart,0
python-markdown,1
pynsist,1
performance improvement,9
robotics,9
data quality,"2,3,4"
gensim,4
taskflow,0
r,"2,3,4"
lamson,0
vectorization,"2,3,4"
medical device,9
backbone.js,0
unipath,9
sublime,0
micropython,1
fashion modeling,9
meinheld,1
c programming,0
ux,0
mezzanine,9
brackets,9
brochure design,9
marketing plans,9
tiling,9
adobe premiere pro,9
restless,0
pyqt,1
voice talent,9
c#,0
commercials,9
pillow,"1,2,3"
pangu.py,4
short_url,1
operations,9
python-docx,1
wagtail,0
shoop,9
pharmaceutical,9
product launch,9
algorithms,0
awesome-pyramid,1
nltk,4
gis,0
genealogy,9
amazon fire,0
zbrush,0
apache,0
telecommunications engineering,0
cytoolz,1
imbox,0
startup,9
payroll,9
python-modernize,1
ionic framework,0
streamparse,1
program management,9
ipad,9
sports,9
sugarcrm,0
engineering drawing,9
business planning,9
speech writing,9
c,0
virtual assistant,"2,3"
ibm,0
johnny-cache,0
mysql-python,1
usability testing,0
open source,0
python-decouple,1
warehouse,0
clean technology,9
relatorio,1
hire me,9
mortgage,9
english (us),9
cms,0
etl,"2,3,4"
brain storming,9
path.py,1
copywriting,9
pip,1
dejavu,0
openstack,0
windows desktop,0
mock,0
rapidweaver,0
test automation,0
business stakeholders,9
psd2cms,0
merchant,9
email,9
pywebview,1
ansible,0
pickledb,0
fabtools,0
django-countries,1
content,9
tablib,"1,2,3"
odoo,0
aerospace engineering,9
portuguese (brazil),9
nikola,0
law enforcement,9
outsourcing,9
simplecv,"2,3"
apache-libcloud,0
testing,0
policies,9
sanic,1
wix,0
database,0
forecasts,"2,3"
video production,0
resumes,9
bank reconciliation,9
spacy,4
lightfm,0
spreadsheets,0
wifi,0
katz-backoff model,4
bi-directional rnn,4
deep rnn,"3,4"
rnn,4
bptt,4
vanishing gradient,4
teacher forcing,4
pair encoding,4
lstm,"3,4"
rnn,"3,4"
gru,"3,4"
non-teacher forcing,4
oce,4
word piece model,4
based likelihood,4
greedy search,4
subword regularization,4
em algorithm,4
machine translation,4
recurrent model,"3,4"
google sentence piece,4
convolutional model,"3,4"
n-gram,4
subword tokenizing based nmt,4
textcnn channel,4
copying mechanism,4
dcnn,4
oov problem slove,4
recursive model,4
syntatically-untied rnn,4
named entity recognition,4
attention mechanism,4
rntn,4
coreference resolution,4
matrix-vector rnn,4
natural language processing,4
skip-thought,4
self-attention,4
scale-dot product attention,4
bleu score,4
model positional encoding,4
poswise feedforwardnet,4
distributed representation,4
unsupervised machine translation,4
reading comprehension,4
machine multi-head attention,4
hierarchical softma,4
masked multi-head atenton,4
negative sampling,4
rouge score,4
cost method,4
dialogue systems,4
nnlm embedding,4
cbow,4
word2vec,4
2 layers lstm,4
pretrained for embedding,4
language modelling,4
word embedding,4
state of the art,4
model pretraining-finetuning,4
embedding,4
transformer based model,4
relative positional encoding,4
openaal-gpt,4
auxiliary task head,4
segment-level recurrence with state reuse,4
transformer xl,4
transformer,4
bert,4
masking language model,4
two-stream self-attention for target-a,4
xlnet,4
next sentence predict,4
nsp,4
cls,4
mask,4
query stream,4
permutation language model,4
universal transformer,4
inductive bias of rnn,4
segment recurrence mechanism,4
openal-gpt2,4
gpt-1,4
gpt-2,4
gpt-3,4
zero-shot learning,4
not finetuning,4
roberta,4
skip nsp,4
large batch,4
distiibert,4
lighter bert,4
summarization,4
pos tagging,4
parsing,4
sentiment analysis,4
question answering,4
text generation,4
co-occurrence matrix,4
encoder-decoder model,4
seq2seq,4
glove,4
logistic regression,"2,4"
lasso regression,"2,4"
l-tokenizer,4
l-r graph,4
naive bayes classifier,"2,4"
gmm,4
max score tokenizer,4
bayesian gmm,4
word segmentation,4
support vector machine,"2,4"
hierarchical clustering,"2,4"
regex tokenizer,4
byte pair encoding,4
unsupervisor dbscan,"2,4"
tokenizer,4
subword tokenizer,4
subword regularization,4
term vector representation,4
tf-idf,4
ride,4
unsupervisor,4
bag of words model,4
distance,4
similarity,4
branching entropy,4
noun extraction,4
out of vocabulary,4
pagerank,4
cosine,4
lda,4
ldi,4
ranking algorithm,4
morphological analysis,4
sparse coding,4
analysis procedur,4
part-of-speech tagging,4
latent dirichlet allocation,4
stopword removal,4
morphological,4
lexical,4
topic modeling,4
gibbs sampling,4
ner analysis,4
dimensionality reduction,"2,4"
statistical semantics hypothesis,4
cyk algorithm abeing,4
bag of words,4
latent relation hypothesis,4
emission probablity,4
co-occurrences,4
shifted ppmi,4
transition probability,4
implicit matrix factorization,4
word-context matrix,4
maximum entropy model,4
maximum entropy markov model,4
ppmi,4
condition random field,4
label bias,4
positive pmi,4
dictionary based,4
knn algorithm,2
instance-based learning,2
kernel pca,2
lagrangian approach,2
primal problem,2
spectral,2
determinant,2
pca,2
kkt condition,2
duality,2
dual problem,2
eigen value,2
som,2
idempotent,2
svd,2
c-svm,2
eigen vector,2
square matrix,2
k-means,2
svm,2
mapping function,2
eigen decomposition,2
kernel trick,2
dimensionality reduction,2
clustering,2
bagging,2
variance-bias,2
adaboost,2
inductive bias,2
diagnosing model,2
aucroc,"2,3"
roc,"2,3"
auc,"2,3"
random forest,2
early stopping,2
"type 1,2 error",2
ensemble,2
accuracy,2
confusion matrix,2
weight decay,2
presicion,2
machine learning,2
dropout,"2,3"
layer,"2,3"
f1 score recall,2
data splitting,"2,3"
regularization,"2,3"
normalization batch,"2,3"
k-fold cross validation,"2,3"
validation,"2,3"
logistic regression,2
linear regression,2
logits,"2,3"
sigmoid,"2,3"
regularized,"2,3"
mse,"2,3"
activation function,"2,3"
tanh,"2,3"
ridge,"2,3"
l2,"2,3"
relu,"2,3"
lasso,"2,3"
l1,"2,3"
leakly rellu,"2,3"
elastic net,"2,3"
l1+l2,"2,3"
nag,"2,3"
prelu,"2,3"
frobenius norm,"2,3"
norm,"2,3"
adagrad,"2,3"
gradient descent,"2,3"
convex function,"2,3"
elu,"2,3"
rmsprop,"2,3"
sgd,"2,3"
maxout,"2,3"
learning rate,"2,3"
adadelta,"2,3"
representation learnin,"2,3"
adam,"2,3"
backpropagation,"2,3"
nadam,"2,3"
gradient vanishing,"2,3"
exploding proof,"2,3"
regression,"2,3"
classification,"2,3"
supervised learning ,"2,3"
unsupervised learning ,2
Semi-supervised learning,"2,3"
reinforcement learning,"2,3"
image classification,3
image classification with localization,3
object detection,3
object segmentation,3
image style transfer,3
image colorization,3
image reconstruction,3
image super-resolution,3
self-supervised learning,2
multi-instance learning,2
statistical inference,2
inductive learning,2
deductive inference,2
transductive learning,2
learning techniques,2
multi-task learning,2
active learning,2
online learning,2
transfer learning,"2,3"
ensemble learning,2
convolutional networks,3
recurrent networks,3
autoencoders,"3,4"
generative models,3
probabilistic models,3
frostbite engine,0
unreal engine,0
unity,0
confluence,0
helix visual client,0
power bi ,"0,2"
css,0
saas,0
scss,0
polymer,0
mocha,0
chai,0
jquery,0
ajax,0
kotlin,0
AEM,0
mysql,0
dynamodb,0
lambda,0
git,0
oop,"0,1"
scrum,0
kanban,0
microsoft visual studio,0
microsoft xna,0
svn,0
perforce,0
3ds max,0
microsoft outlook,9
google docs,9
google spreadsheets,9
google slides,9
mongodb,0
angularjs,0
sql,0
rust,0
sfml,0
sdl,0
anttweakbar,0
fmod,0
imgui,0
kafka,0
docker,0
aws,0
jenkins,0
spring boot,0
spring cloud steam,0
object-oriented programming,0
tableau,2
decision trees,2
anova,2
t-test,2
visual basic,0
teradata,0
redis cluster,0
memcached,0
prometheus,0
maven,0
gradle,0
mapreduce,2
visual studio,0
frosted,0
g suite,0
principal component analysis ,2
xcode,0
devtrack,0
hansoft,0
groovy,0
